x	y	classify	taxa	attr1	attr2
68.00522405	-208.1143996	4	A247	68.00522405	-208.1143996
8.334982642	7.221992017	3	A248	8.334982642	7.221992017
110.9586941	117.651329	3	A249	110.9586941	117.651329
154.8179998	117.813941	5	A250	154.8179998	117.813941
225.2762968	142.9526908	3	A251	225.2762968	142.9526908
-220.5781828	25.08580224	1	A252	-220.5781828	25.08580224
-46.86795328	-111.412014	5	A253	-46.86795328	-111.412014
-40.02795194	46.26432381	3	A254	-40.02795194	46.26432381
-187.7498899	35.65053758	1	A255	-187.7498899	35.65053758
67.02367567	-230.22938	4	A256	67.02367567	-230.22938
